Nom,Live,URL,projet
https://www.linkedin.com/in/j%C3%A9r%C3%A9my-asta-vola-709921125/overlay/about-this-profile/,https://www.youtube.com/watch?v=51h0ZslJTxY,https://www.linkedin.com/in/j%C3%A9r%C3%A9my-asta-vola-709921125/,MORELL ALART & Associés
https://www.linkedin.com/in/richard-hamelin-714958127/overlay/about-this-profile/,https://www.youtube.com/watch?v=Lh7fuCDHWW8,https://www.linkedin.com/in/richard-hamelin-714958127/,50Partners
Gaye Florian,https://www.youtube.com/watch?v=dug0mWmW_-M,https://www.linkedin.com/in/gaye-florian-245628a6/,Oval3
"Damien Dupont ",https://www.youtube.com/watch?v=HIw4f7g6aPY,https://www.linkedin.com/in/damien-dupont/,Shaka Biarritz
Louis Guthmann,https://www.youtube.com/watch?v=Yeq0Tma_ayQ,https://www.linkedin.com/in/louisguthmann/,Starkware
https://www.linkedin.com/in/gaspardpeduzzi/overlay/about-this-profile/,https://www.youtube.com/watch?v=NVz9Hvx8gtc,https://www.linkedin.com/in/gaspardpeduzzi/,APWine
https://www.linkedin.com/in/elias-tazartes-a13450155/overlay/about-this-profile/,https://www.youtube.com/watch?v=8o8LA1cfdjo,https://www.linkedin.com/in/elias-tazartes-a13450155/,Kakarot
Louis de Bonnecaze,https://www.youtube.com/watch?v=QiAz_ex1Itw,https://www.linkedin.com/in/louisdebonnecaze/,Intercellar/wine bottle club
loïs guilhou,https://www.youtube.com/watch?v=rAlRFcOc0qk,https://www.linkedin.com/in/lo%C3%AFs-guilhou-05a03984/,NFT Paris
Pierre Yves D,https://www.youtube.com/watch?v=wY8eg_YdqlE,https://www.linkedin.com/in/pierre-yves-ledgity/,Ledgity
Paul Arrago,https://www.youtube.com/watch?v=5RC9_znw6o4,https://www.linkedin.com/in/paul-arrago-b8345ab4/details/experience/,Nyx Capital DAO
Benoit Huguet,https://www.youtube.com/watch?v=pi3IOzARxEU,https://www.linkedin.com/in/benoit-huguet-bitconseil/,"Journal du coin, BitConseil"
Jahed Momand,https://www.youtube.com/watch?v=b8XiBx1VuuM,https://www.linkedin.com/in/jahedmomand/,Cerulean Ventures
Thibaut Boutrou,https://www.youtube.com/watch?v=9uHQRyq_xUU,https://www.linkedin.com/in/thibaut-boutrou/,Meria
